rhcaPortfolio_hostChampionFitness,rhcaPortfolio_parasiteChampionFitness,oe_championFitness
260.1423076923076,100.29853153532405,2190.2403846153848
273.6646057692308,100.12089675976821,1988.5990384615384
287.1869038461538,99.9432619842124,1786.9576923076927
274.2922403846154,99.65593959902868,1604.2879807692307
239.03573076923072,98.93028372223921,1499.1407692307691
165.44498397435885,99.03506547719851,1493.9879807692307
82.25008974358978,100.95777802285329,1542.0865384615388
-4.123958333333429,103.36469294777505,1599.2958653846154
-87.9960897435898,108.36946890852242,1664.0396153846157
-154.92255769230766,117.63338933337276,1756.4419230769233
-209.6134294871795,127.02176601780403,1852.1663461538462
-266.0519262820512,133.6478380444384,1955.7108653846155
-352.924423076923,139.89720119271175,2086.346923076923
-452.57356730769243,146.2429565945082,2196.218173076923
-571.1515064102565,152.55722991809324,2300.5126923076928
-699.5738461538458,160.26400570102908,2404.960576923077
-860.1122435897439,168.74723185477296,2525.651923076923
-1041.4602660256414,176.63408129663833,2658.206826923077
-1253.3466153846148,183.48387358626903,2811.0851923076925
-1483.9613846153848,193.05910350000966,2972.8399038461534
-1665.5762179487176,206.78685706519025,3160.7269230769234
-1807.7383717948712,221.0773163218185,3358.8234615384613
-1971.3223397435893,236.65273443950016,3612.8948076923084
-2181.751730769231,256.2341200356762,3887.368173076922
-2378.675576923076,278.16664131173707,4136.529615384616
-2562.18389423077,299.07391583662525,4312.028846153846
-2658.0195705128203,308.202344015871,4437.055576923077
-2702.655618589743,309.4874464016955,4556.38048076923
-2793.4891410256414,312.14878704039734,4665.733846153846
-2877.483282051281,319.936509280395,4809.057596153844
-3029.0374358974345,331.5833948679377,4985.659615384615
-3251.3339807692328,343.70125586612005,5215.992115384614
-3438.3864999999987,352.1364936988561,5388.320769230771
-3618.892272435896,362.0510314526713,5511.175673076923
-3773.0434423076945,371.96061775318196,5665.617115384616
-3930.849423076921,382.6994741335702,5851.42980769231
-4080.5561025641027,394.4777237829707,6084.693076923078
-4220.695342948718,401.8386376589819,6270.83826923077
-4387.230275641025,411.3895002957874,6418.488076923077
-4572.485772435897,428.4403919463879,6592.8987499999985
-4745.0394230769225,445.6411025871223,6787.575000000001
-4928.416192307693,462.89739145182403,6979.875673076922
-5132.31778205128,477.4207884307573,7195.977692307692
-5336.692557692308,483.5577931941761,7442.019711538457
-5569.972692307691,492.3793119414439,7715.7726923076925
-5853.240096153851,511.30100903496475,8059.49375
-6184.760692307693,539.6347242389797,8427.1375
-6539.342512820511,570.6640191098879,8818.540865384615
-6899.197782051279,596.057099131242,9180.443461538463
-7276.147006410251,614.0338766606517,9518.494615384618
-7624.455448717948,628.316842659405,9815.442307692309
-7828.250679487183,635.107653372009,10092.850576923076
-8039.584166666664,642.5069320779779,10356.004999999997
-8185.357073717948,648.3564618453164,10551.723173076924
-8311.586089743589,650.4728921077102,10703.80442307692
-8412.952580128205,653.2461284235524,10793.04278846154
-8537.051397435898,659.6307667963993,10868.770000000006
-8658.378304487178,670.8405828552422,10953.741923076923
-8790.566512820513,689.4927321845715,11109.315961538465
-8966.391798076922,714.9660771542071,11296.260096153846
-9156.355641025639,732.4946906150313,11506.299999999997
-9358.988506410253,747.2413708336594,11840.379807692303
-9619.41355769231,754.6491071721206,12172.793653846149
-9907.944916666667,771.1985073429267,12536.125673076927
-10249.03048717949,798.4405796879181,12948.68538461539
-10604.218814102565,825.2985459209128,13322.827403846157
-10920.084141025647,846.7469208131909,13641.363653846154
-11185.383621794874,864.3119063316382,13927.521634615387
-11431.742935897431,886.9573610069826,14189.506923076926
-11615.211541666666,911.9164068878761,14425.963365384618
-11818.353333333333,943.0589607228684,14576.387500000004
-12037.30932371795,972.1373105155903,14709.889423076926
-12286.549743589738,1006.0953076421158,14883.892692307696
-12552.005907051276,1021.615762483751,15054.914038461537
-12810.418756410256,1024.012094591189,15238.327500000001
-13103.072916666675,1025.4565604777788,15414.096153846154
-13302.257179487178,1020.0807852253313,15622.758076923066
-13494.783506410255,1034.1442404752624,15892.233749999998
-13680.18426282051,1054.24692286487,16233.856730769232
-13904.751951923077,1078.9759530874217,16556.68865384616
-14191.701858974362,1109.116157952616,16878.325000000004
-14547.244121794878,1129.559888411011,17152.280000000006
-14923.953506410264,1154.4517722413227,17422.16192307692
-15269.90280448718,1190.7867813119651,17691.228750000006
-15599.77666666667,1223.927195439973,17980.725384615387
-15939.766346153849,1242.6810345085,18295.84903846154
-16397.451480769225,1282.9053466072778,18677.596153846163
-16753.151096153844,1324.9753033088768,19096.996634615385
-17121.791038461542,1379.713002032837,19623.467307692306
-17518.37828525641,1449.315222474827,20372.07942307693
-18004.815064102564,1537.3737756513997,21469.01057692308
-18477.524102564108,1643.7893310524041,23143.249903846157
-19114.15837179488,1764.5516255144955,25535.656153846176
-19927.431932692307,1869.4274000055043,29783.48019230771
-21193.139705128193,1981.3247587596588,35204.31769230767
-22771.17116987178,2126.3359563345944,41027.37355769228
-24018.663243589734,2231.794766791759,46178.392692307665
-24317.633060897424,2305.7378390687013,48347.708557692305
-23969.899358974344,2319.767736160818,48726.442307692305
-23969.899358974344,2319.7677361608175,48726.442307692305

