rhca_generations,rhcaPortfolio_generations
157.8653846153846,79.0576923076923
139.85951923076917,75.91096153846155
121.85365384615385,72.76423076923079
105.84605769230767,70.21644230769229
95.70730769230772,68.1253846153846
91.44278846153846,66.60817307692307
91.40942307692308,65.10384615384618
91.55423076923074,63.682596153846134
91.68615384615387,62.21461538461537
92.31240384615386,60.525865384615386
93.2221153846154,59.02884615384615
92.42673076923077,57.542403846153846
92.1880769230769,56.16999999999997
92.32000000000004,55.524903846153876
91.61192307692308,54.95730769230772
91.59182692307695,54.00384615384616
92.01346153846157,52.91538461538463
93.17798076923074,51.67903846153844
95.04923076923077,50.752307692307696
96.57278846153847,50.13163461538461
97.49230769230775,49.60961538461539
98.54990384615388,49.32153846153845
99.9675,49.19961538461535
101.20144230769232,48.97999999999998
103.68346153846151,48.558076923076925
105.63221153846153,48.03846153846154
107.18461538461543,47.53653846153843
108.87913461538457,47.37625000000002
110.12653846153853,47.52076923076922
111.09759615384617,47.76519230769232
111.73942307692307,47.80961538461538
111.98403846153847,47.76000000000002
112.35269230769235,47.74884615384618
114.50961538461539,47.70692307692308
117.2113461538461,47.647692307692296
120.1201923076923,47.6326923076923
122.96230769230773,47.69000000000001
124.32057692307694,47.65201923076927
125.42634615384617,47.64249999999997
126.72423076923079,47.67528846153845
127.99807692307695,47.87499999999999
129.28048076923076,48.226057692307684
130.60153846153838,48.59288461538462
131.72942307692304,48.75442307692306
132.27807692307698,48.816923076923096
132.3774038461538,48.750480769230776
132.2940384615385,48.51115384615386
132.18884615384613,48.18538461538461
132.14653846153843,48.13576923076924
132.14009615384614,48.33817307692306
132.15865384615384,48.48557692307692
132.7635576923077,48.815480769230774
133.32346153846157,49.17615384615385
133.8205769230769,49.284326923076904
134.4936538461538,49.51000000000002
135.04951923076914,49.75096153846156
135.7711538461538,49.97153846153848
136.43125,50.36000000000002
136.69826923076926,50.72903846153845
137.02057692307696,50.9597115384615
137.85384615384615,51.31346153846154
139.26826923076928,51.61057692307694
140.37576923076927,51.8626923076923
141.06048076923076,52.00384615384615
141.56923076923076,52.2126923076923
142.12307692307692,52.681730769230775
142.73269230769228,53.1446153846154
143.48980769230772,53.69894230769231
144.04384615384618,54.18769230769231
144.19701923076926,54.43644230769231
144.1721153846154,54.71923076923077
145.13249999999996,55.140192307692296
146.66000000000005,55.45038461538463
148.35990384615386,55.73663461538461
149.71692307692308,56.12230769230769
150.9471153846154,56.58173076923077
152.1080769230769,57.36038461538462
153.13971153846154,58.1664423076923
154.4473076923077,59.08384615384618
155.8518269230769,60.08076923076924
157.65576923076927,61.209615384615375
160.30740384615385,62.31740384615387
162.905,63.62423076923077
165.67499999999998,65.2179807692307
168.60346153846152,66.51153846153845
170.8870192307692,67.78701923076923
173.0159615384615,68.92980769230766
175.44240384615384,70.19971153846153
178.3596153846154,71.70538461538462
181.71490384615385,73.66999999999999
185.24134615384617,78.67500000000001
189.22125000000005,88.2617307692307
195.15576923076938,107.706153846154
203.34625000000008,138.34394230769246
216.01365384615372,177.3944230769228
230.2245192307692,225.35528846153824
242.91807692307688,267.3307692307691
250.58778846153842,289.49336538461534
252.72115384615384,293.71153846153845
252.72115384615384,293.71153846153845

